Date,Open,High,Low,Close,Adj Close,Volume
2023-11-29,75.910004,76.349998,75.000000,75.269997,75.269997,3047903
2023-11-30,75.320000,75.500000,74.230003,74.669998,74.669998,1500932
2023-12-01,74.809998,77.199997,74.809998,75.419998,75.419998,5812579
2023-12-04,78.000000,78.099998,76.120003,76.339996,76.339996,9288391
2023-12-05,76.940002,77.199997,75.849998,76.139999,76.139999,2087620
2023-12-06,76.309998,76.570000,75.599998,75.820000,75.820000,1880924
2023-12-07,75.120003,76.650002,74.699997,76.040001,76.040001,5666299
2023-12-08,76.040001,77.680000,75.599998,76.580002,76.580002,3653661
2023-12-11,77.209999,83.370003,76.820000,82.199997,82.199997,18564530
2023-12-12,84.010002,86.559998,82.040001,82.970001,82.970001,18387040
2023-12-13,84.160004,85.400002,83.029999,83.529999,83.529999,6666210
2023-12-14,84.949997,96.099998,84.800003,92.639999,92.639999,64479840
2023-12-15,95.300003,100.839996,93.250000,94.690002,94.690002,27210300
2023-12-18,96.580002,96.580002,91.349998,94.360001,94.360001,13331500
2023-12-19,95.339996,101.470001,94.589996,100.139999,100.139999,41472790
2023-12-20,102.209999,104.139999,91.300003,92.480003,92.480003,40063550
2023-12-21,90.629997,99.750000,87.010002,98.739998,98.739998,37439380
2023-12-22,101.000000,101.949997,96.699997,97.760002,97.760002,13459390
2023-12-26,98.800003,99.279999,96.599998,97.410004,97.410004,11823520
2023-12-27,98.099998,98.889999,96.199997,96.739998,96.739998,7745242
2023-12-28,97.709999,98.500000,96.070000,96.449997,96.449997,10343110
2023-12-29,96.940002,100.419998,96.510002,99.320000,99.320000,20300130
2024-01-01,100.370003,102.400002,99.400002,100.370003,100.370003,7433527
2024-01-02,101.279999,101.639999,97.900002,99.989998,99.989998,5907622
2024-01-03,100.349998,101.980003,98.959999,100.940002,100.940002,6551836
2024-01-04,101.750000,103.500000,101.000000,101.250000,101.250000,11048350
2024-01-05,102.430000,102.440002,99.900002,100.750000,100.750000,3977881
2024-01-08,101.690002,101.690002,99.599998,99.970001,99.970001,6675192
2024-01-09,101.000000,102.239998,99.889999,100.080002,100.080002,7751317
2024-01-10,100.650002,103.500000,99.550003,103.059998,103.059998,5937317
2024-01-11,104.500000,109.300003,104.300003,106.870003,106.870003,27173540
2024-01-12,109.010002,114.000000,108.910004,113.379997,113.379997,26884970
2024-01-15,116.199997,134.699997,116.199997,130.110001,130.110001,34421410
2024-01-16,139.100006,146.690002,136.100006,141.770004,141.770004,61711720
2024-01-17,139.699997,150.619995,133.009995,149.050003,149.050003,29008980
2024-01-18,null,null,null,null,null,null
2024-01-19,149.399994,160.889999,149.250000,160.360001,160.360001,37194900
2024-01-23,187.000000,192.800003,158.800003,161.479996,161.479996,46556090
2024-01-24,164.179993,173.139999,150.809998,171.860001,171.860001,30763270
2024-01-25,174.899994,178.240005,171.860001,173.940002,173.940002,8279512
2024-01-29,177.419998,178.000000,169.259995,170.850006,170.850006,15181650
2024-01-30,171.500000,172.000000,164.009995,166.580002,166.580002,14008400
2024-01-31,167.990005,177.000000,166.020004,175.029999,175.029999,6601490
